,crimeCaseNumber,CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,counter,lat,long
1,NA,1/1/2014,4C,5:49:00,1800 W LEXINGTON ST,AGG. ASSAULT,OTHER,711,WESTERN,Franklin Square,1,39.29062,-76.64625
2,NA,1/1/2014,4B,5:52:00,2200 GOUGH ST,AGG. ASSAULT,KNIFE,212,SOUTHEASTERN,Upper Fells Point,1,39.28798,-76.58586
3,NA,1/1/2014,4B,5:52:00,2200 GOUGH ST,AGG. ASSAULT,KNIFE,212,SOUTHEASTERN,Upper Fells Point,1,39.28798,-76.58586
4,NA,1/1/2014,4B,5:52:00,2200 GOUGH ST,AGG. ASSAULT,KNIFE,212,SOUTHEASTERN,Upper Fells Point,1,39.28798,-76.58586
5,NA,1/1/2014,4B,5:52:00,2200 GOUGH ST,AGG. ASSAULT,KNIFE,212,SOUTHEASTERN,Upper Fells Point,1,39.28798,-76.58586
6,NA,1/1/2014,3CF,6:10:00,1900 EDMONDSON AV,ROBBERY - COMMERCIAL,FIREARM,722,WESTERN,Midtown-Edmondson,1,39.29512,-76.64744
7,NA,1/1/2014,4A,6:30:00,2500 W LOMBARD ST,AGG. ASSAULT,FIREARM,842,SOUTHWESTERN,Shipley Hill,1,39.28577,-76.65681
8,NA,1/1/2014,4D,7:30:00,6600 GARY AV,AGG. ASSAULT,HANDS,243,SOUTHEASTERN,Graceland Park,1,39.28,-76.53551
9,NA,1/1/2014,3AF,8:35:00,4500 EASTERN AV,ROBBERY - STREET,FIREARM,242,SOUTHEASTERN,Greektown,1,39.2872,-76.55803
10,NA,1/1/2014,4B,1:00:00,1200 UNION AV,AGG. ASSAULT,KNIFE,531,NORTHERN,Hampden,1,39.33312,-76.63616
11,NA,1/1/2014,4B,1:00:00,1200 UNION AV,AGG. ASSAULT,KNIFE,531,NORTHERN,Hampden,1,39.33312,-76.63616
12,NA,1/1/2014,4D,1:39:00,200 N CHARLES ST,AGG. ASSAULT,HANDS,111,CENTRAL,Downtown,1,39.29177,-76.61525
13,NA,1/1/2014,4C,2:30:00,600 N LUZERNE AV,AGG. ASSAULT,OTHER,221,SOUTHEASTERN,McElderry Park,1,39.29822,-76.58087
14,NA,1/1/2014,4C,2:41:00,OLDHAM ST,AGG. ASSAULT,OTHER,242,SOUTHEASTERN,Greektown,1,39.28665,-76.5558
15,NA,1/1/2014,4C,2:41:00,OLDHAM ST,AGG. ASSAULT,OTHER,242,SOUTHEASTERN,Greektown,1,39.28665,-76.5558
16,NA,1/1/2014,4C,3:00:00,1400 COOKSIE ST,AGG. ASSAULT,OTHER,943,SOUTHERN,Locust Point,1,39.26977,-76.59254
17,NA,1/1/2014,3AF,3:30:00,100 E NORTH AV,ROBBERY - STREET,FIREARM,141,CENTRAL,Barclay,1,39.31126,-76.61478
18,NA,1/1/2014,4C,3:30:00,6500 ARMSTRONG AVE,AGG. ASSAULT,OTHER,631,NORTHWESTERN,Reisterstown Station,1,39.35204,-76.70845
19,NA,1/1/2014,4D,3:47:00,4100 ST GEORGES AV,AGG. ASSAULT,HANDS,542,NORTHERN,Pen Lucy,1,39.34089,-76.60119
20,NA,1/1/2014,2A,12:02:48,500 N CLINTON ST,RAPE,OTHER,224,SOUTHEASTERN,Ellwood Park/Monument,1,39.29739,-76.5707
21,NA,1/1/2014,3K,12:09:00,4000 BAREVA RD,ROBBERY - RESIDENCE,,643,NORTHWESTERN,East Arlington,1,39.33422,-76.67116
22,NA,1/1/2014,3AF,15:25:00,2500 PENNSYLVANIA AV,ROBBERY - STREET,FIREARM,733,WESTERN,Penn North,1,39.31033,-76.64277
23,NA,1/1/2014,3N,15:35:00,1600 COLE ST,ROBBERY - STREET,OTHER,935,SOUTHERN,New Southwest/Mount Clare,1,39.2822,-76.6429
24,NA,1/1/2014,1F,1520,3900 EDMONDSON AV,HOMICIDE,FIREARM,844,SOUTHWESTERN,Edmondson Village,1,39.2939,-76.68127
25,NA,1/1/2014,1F,1520,3900 EDMONDSON AV,HOMICIDE,FIREARM,844,SOUTHWESTERN,Edmondson Village,1,39.2939,-76.68127
26,NA,1/1/2014,3NF,17:15:00,2100 TUCKER LA,ROBBERY - STREET,FIREARM,821,SOUTHWESTERN,Wakefield,1,39.3099,-76.70143
27,NA,1/1/2014,4A,17:35:00,5100 QUEENSBERRY AV,AGG. ASSAULT,FIREARM,614,NORTHWESTERN,Central Park Heights,1,39.35002,-76.67193
28,NA,1/1/2014,9S,1738,5100 QUEENSBERRY AV,SHOOTING,FIREARM,614,NORTHWESTERN,Central Park Heights,1,39.3506,-76.67228
29,NA,1/1/2014,3D,18:16:00,200 E PRATT ST,ROBBERY - COMMERCIAL,,112,CENTRAL,Inner Harbor,1,39.28659,-76.61204
30,NA,1/1/2014,3B,18:30:00,900 N CAROLINE ST,ROBBERY - STREET,,313,EASTERN,Gay Street,1,39.3005,-76.59778
31,NA,1/1/2014,4C,19:25:00,3800 BOARMAN AV,AGG. ASSAULT,OTHER,642,NORTHWESTERN,Callaway-Garrison,1,39.33442,-76.68075
32,NA,1/1/2014,3AF,20:30:00,300 BLOOM ST,ROBBERY - STREET,FIREARM,132,CENTRAL,Madison Park,1,39.30976,-76.6344
33,NA,1/1/2014,2A,21:39:54,1000 W 38TH ST,RAPE,OTHER,531,NORTHERN,Hampden,1,39.33417,-76.63375
34,NA,1/1/2014,4B,22:03:00,200 HARMISON ST,AGG. ASSAULT,KNIFE,934,SOUTHERN,Carrollton Ridge,1,39.28467,-76.64921
35,NA,1/1/2014,4A,22:03:00,900 S CATON AV,AGG. ASSAULT,FIREARM,832,SOUTHWESTERN,Violetville,1,39.27355,-76.67137
36,NA,1/1/2014,4A,22:03:00,900 S CATON AV,AGG. ASSAULT,FIREARM,832,SOUTHWESTERN,Violetville,1,39.27355,-76.67137
37,NA,1/1/2014,4A,22:31:00,5900 EDNA AV,AGG. ASSAULT,FIREARM,425,NORTHEASTERN,Glenham-Belhar,1,39.35422,-76.55507
38,NA,1/1/2014,9S,2231,5900 EDNA AV,SHOOTING,FIREARM,425,NORTHEASTERN,Glenham-Belhar,1,39.35422,-76.55507
39,NA,1/1/2014,3B,23:30:00,900 E LOMBARD ST,ROBBERY - STREET,,211,SOUTHEASTERN,Jonestown,1,39.28894,-76.6031
40,NA,1/2/2014,3AF,18:20:00,2900 KIRK AV,ROBBERY - STREET,FIREARM,411,NORTHEASTERN,Coldstream Homestead Montebello,1,39.32583,-76.59436
41,NA,1/2/2014,1F,1810,4300 SHAMROCK AV,HOMICIDE,FIREARM,442,NORTHEASTERN,Belair-Edison,1,39.32688,-76.56356
