,ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,lat,long,counter
1,0002 019 031016,2,19,1909 W NORTH AVE,3/10/2016,EASTERWOOD,WESTERN,7,39.30952601,-76.64848892,1
2,0007 057 031116,7,57,1734 APPLETON ST,3/11/2016,EASTERWOOD,WESTERN,7,39.30856758,-76.64921157,1
3,0125 012 030816,125,12,522 N CAREY ST,3/8/2016,HARLEM PARK,WESTERN,9,39.29482152,-76.63877572,1
4,0151 009 030716,151,9,317 N GILMOR ST,3/7/2016,FRANKLIN SQUARE,WESTERN,9,39.29261888,-76.64231678,1
5,0232 032 031116,232,32,1324 W LOMBARD ST,3/11/2016,UNION SQUARE,SOUTHERN,9,39.28680988,-76.63888529,1
6,0235 029 031116,235,29,45 S ARLINGTON AVE,3/11/2016,HOLLINS MARKET,SOUTHERN,9,39.28713548,-76.63498941,1
7,0275 060 030716,275,60,319 S MONROE ST,3/7/2016,CARROLLTON RIDGE,SOUTHERN,9,39.28383911,-76.64647246,1
8,0329 045 030716,329,45,1803 DRUID HILL AVE,3/7/2016,DRUID HEIGHTS,CENTRAL,11,39.3061856,-76.63334767,1
9,0599 008 031116,599,8,235 PARK AVE,3/11/2016,DOWNTOWN,CENTRAL,11,39.29280154,-76.6178644,1
10,0767 117 030816,767,117,1329 SARGEANT ST,3/8/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,39.28035426,-76.63645611,1
11,0779 002 030716,779,2,1203 WASHINGTON BLVD,3/7/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,39.28150228,-76.63396506,1
12,0779 026 030816,779,26,1253 WASHINGTON BLVD,3/8/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,39.280852,-76.6348142,1
13,0801 019 030816,801,19,1136 W HAMBURG ST,3/8/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,39.28010139,-76.63055854,1
14,0801 066 031016,801,66,1121 NANTICOKE ST,3/10/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,39.28058109,-76.63071342,1
15,0855 008 030816,855,8,622 ARCHER ST,3/8/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,39.28160587,-76.63017981,1
16,1020 059 030916,1020,59,1710 CLARKSON ST,3/9/2016,SOUTH BALTIMORE,SOUTHERN,11,39.27018816,-76.61614134,1
17,1126 056 030716,1126,56,1532 N BOND ST,3/7/2016,OLIVER,EASTERN,12,39.30815721,-76.59707552,1
18,1454 029 030716,1454,29,1816 N MILTON AVE,3/7/2016,BROADWAY EAST,EASTERN,13,39.31174375,-76.58335172,1
19,1477 047 031116,1477,47,1516 RUTLAND AVE,3/11/2016,BROADWAY EAST,EASTERN,12,39.30822909,-76.59304661,1
20,1500 011 030716,1500,11,2131 E OLIVER ST,3/7/2016,BROADWAY EAST,EASTERN,13,39.30757991,-76.58751523,1
21,1658 069 030916,1658,69,530 N BELNORD AVE,3/9/2016,MCELDERRY PARK,SOUTHEASTERN,13,39.29769466,-76.57887137,1
22,1661 009 030716,1661,9,3017 MCELDERRY ST,3/7/2016,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29784806,-76.57460498,1
23,1709 014 030816,1709,14,127 N MILTON AVE,3/8/2016,PATTERSON PARK NEIGHBORHOOD,SOUTHEASTERN,1,39.29373565,-76.58171453,1
24,1716 037 030816,1716,37,108 N CLINTON ST,3/8/2016,PATTERSON PARK NEIGHBORHOOD,SOUTHEASTERN,1,39.29380306,-76.57120245,1
25,0001 003 012512,1,3,2041 W NORTH AVE,1/25/2012,EASTERWOOD,WESTERN,7,39.30941765,-76.65104057,1
26,0001 006 120214,1,6,2035 W NORTH AVE,12/2/2014,EASTERWOOD,WESTERN,7,39.30942276,-76.65089166,1
27,0001 007 020113,1,7,2033 W NORTH AVE,2/1/2013,EASTERWOOD,WESTERN,7,39.30942443,-76.65084103,1
28,0001 008 070115,1,8,2031 W NORTH AVE,7/1/2015,EASTERWOOD,WESTERN,7,39.30942603,-76.65079304,1
29,0001 015 012816,1,15,2017 W NORTH AVE,1/28/2016,EASTERWOOD,WESTERN,7,39.30943944,-76.65044524,1
30,0001 026 121410,1,26,1810 N PAYSON ST,12/14/2010,EASTERWOOD,WESTERN,7,39.30902061,-76.65010741,1
31,0001 028 020808,1,28,1806 N PAYSON ST,2/8/2008,EASTERWOOD,WESTERN,7,39.30894358,-76.65010312,1
32,0001 029 120710,1,29,1804 N PAYSON ST,12/7/2010,EASTERWOOD,WESTERN,7,39.30890577,-76.650101,1
33,2307A019 031116,2307A,19,2437 W NORTH AVE,3/11/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,39.30918947,-76.65702099,1
34,2319 013 031116,2319,13,1624 MORELAND AVE,3/11/2016,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,39.30688496,-76.6560888,1
35,2367 008 031116,2367,8,2514 RIGGS AVE,3/11/2016,BRIDGEVIEW/GREENLAWN,WESTERN,9,39.300868,-76.65722459,1
